Date,Close
1/2/2018 16:00:00,65.18
1/3/2018 16:00:00,65.71
1/4/2018 16:00:00,66.63
1/5/2018 16:00:00,67.29
1/8/2018 16:00:00,67.43
1/9/2018 16:00:00,68.15
1/10/2018 16:00:00,68.51
1/11/2018 16:00:00,68.92
1/12/2018 16:00:00,68.61
1/16/2018 16:00:00,68.76
1/17/2018 16:00:00,69.13
1/18/2018 16:00:00,68.97
1/19/2018 16:00:00,69.06
1/22/2018 16:00:00,70.1
1/23/2018 16:00:00,70.19
1/24/2018 16:00:00,70.07
1/25/2018 16:00:00,70.4
1/26/2018 16:00:00,71.29
1/29/2018 16:00:00,71.52
1/30/2018 16:00:00,71.27
1/31/2018 16:00:00,70.42
2/1/2018 16:00:00,70.05
2/2/2018 16:00:00,68.78
2/5/2018 16:00:00,65.06
2/6/2018 16:00:00,65.38
2/7/2018 16:00:00,64.58
2/8/2018 16:00:00,66.53
2/9/2018 16:00:00,68.73
2/12/2018 16:00:00,69.32
2/13/2018 16:00:00,69.52
2/14/2018 16:00:00,69.2
2/15/2018 16:00:00,70.22
2/16/2018 16:00:00,71.36
2/20/2018 16:00:00,70.86
2/21/2018 16:00:00,69.9
2/22/2018 16:00:00,71.06
2/23/2018 16:00:00,73.1
2/26/2018 16:00:00,72.68
2/27/2018 16:00:00,72.11
2/28/2018 16:00:00,71.69
3/1/2018 16:00:00,70.94
3/2/2018 16:00:00,71.99
3/5/2018 16:00:00,72.47
3/6/2018 16:00:00,72.11
3/7/2018 16:00:00,72.53
3/8/2018 16:00:00,73.05
3/9/2018 16:00:00,74.11
3/12/2018 16:00:00,73.82
3/13/2018 16:00:00,73.75
3/14/2018 16:00:00,73.8
3/15/2018 16:00:00,73.83
3/16/2018 16:00:00,74.22
3/19/2018 16:00:00,73.62
3/20/2018 16:00:00,73.46
3/21/2018 16:00:00,73.17
3/22/2018 16:00:00,71.34
3/23/2018 16:00:00,70.01
3/26/2018 16:00:00,71.28
3/27/2018 16:00:00,70.28
3/28/2018 16:00:00,70.74
3/29/2018 16:00:00,71.31
4/2/2018 16:00:00,70.54
4/3/2018 16:00:00,70.97
4/4/2018 16:00:00,71.13
4/5/2018 16:00:00,71.24
4/6/2018 16:00:00,69.84
4/9/2018 16:00:00,70.13
4/10/2018 16:00:00,71.13
4/11/2018 16:00:00,70.85
4/12/2018 16:00:00,70.98
4/13/2018 16:00:00,70.9
4/16/2018 16:00:00,71.59
4/17/2018 16:00:00,72.29
4/18/2018 16:00:00,72.12
4/19/2018 16:00:00,71.75
4/20/2018 16:00:00,71.34
4/23/2018 16:00:00,71.09
4/24/2018 16:00:00,70.9
4/25/2018 16:00:00,70.16
4/26/2018 16:00:00,71.32
4/27/2018 16:00:00,71.47
4/30/2018 16:00:00,70.86
5/1/2018 16:00:00,71.63
5/2/2018 16:00:00,69.03
5/3/2018 16:00:00,68.99
5/4/2018 16:00:00,69.72
5/7/2018 16:00:00,70.41
5/8/2018 16:00:00,70.41
5/9/2018 16:00:00,71.49
5/10/2018 16:00:00,72.41
5/11/2018 16:00:00,72.79
5/14/2018 16:00:00,72.42
5/15/2018 16:00:00,72.09
5/16/2018 16:00:00,72.28
5/17/2018 16:00:00,72.5
5/18/2018 16:00:00,72.98
5/21/2018 16:00:00,73.25
5/22/2018 16:00:00,71.66
5/23/2018 16:00:00,71.87
5/24/2018 16:00:00,71.68
5/25/2018 16:00:00,71.77
5/29/2018 16:00:00,71.63
5/30/2018 16:00:00,72.75
5/31/2018 16:00:00,72.6
6/1/2018 16:00:00,73.33
6/4/2018 16:00:00,74.26
6/5/2018 16:00:00,74.68
6/6/2018 16:00:00,76.06
6/7/2018 16:00:00,75.07
6/8/2018 16:00:00,75.47
6/11/2018 16:00:00,75.13
6/12/2018 16:00:00,75.85
6/13/2018 16:00:00,75.85
6/14/2018 16:00:00,76.43
6/15/2018 16:00:00,76.49
6/18/2018 16:00:00,76.22
6/19/2018 16:00:00,76.16
6/20/2018 16:00:00,76.21
6/21/2018 16:00:00,75.78
6/22/2018 16:00:00,75.57
6/25/2018 16:00:00,74.38
6/26/2018 16:00:00,74.18
6/27/2018 16:00:00,73.26
6/28/2018 16:00:00,73.93
6/29/2018 16:00:00,74.09
7/2/2018 16:00:00,74.74
7/3/2018 13:00:00,74.42
7/5/2018 16:00:00,75.03
7/6/2018 16:00:00,75.49
7/9/2018 16:00:00,75.82
7/10/2018 16:00:00,75.96
7/11/2018 16:00:00,76.46
7/12/2018 16:00:00,77.55
7/13/2018 16:00:00,77.45
7/16/2018 16:00:00,76.87
7/17/2018 16:00:00,77.15
